	sex	age	address	famsize	Pstatus	Medu	Fedu	guardian	traveltime	studytime	failures	schoolsup	famsup	paid	activities	nursery	higher	internet	famrel	freetime	goout	health	absences	passed	pjob_at_home	pjob_health	pjob_other	pjob_services	pjob_teacher
0	0	18	0	0	1	4	4	0	2	2	0	1	0	0	0	1	1	0	4	3	4	3	6	0	1	0	0	0	0
1	0	17	0	0	0	1	1	1	1	2	0	0	1	0	0	0	1	1	5	3	3	3	4	0	0	0	1	0	0
2	0	15	0	1	0	1	1	0	1	2	3	1	0	1	0	1	1	1	4	3	2	3	10	1	1	0	0	0	0
3	0	15	0	0	0	4	2	0	1	3	0	0	1	1	1	1	1	1	3	2	2	5	2	1	0	1	0	0	0
4	0	16	0	0	0	3	3	1	1	2	0	0	1	1	0	1	1	0	4	3	2	5	4	1	0	0	1	0	0
5	1	16	0	1	0	4	3	0	1	2	0	0	1	1	1	1	1	1	5	4	2	5	10	1	0	0	0	1	0
6	1	16	0	1	0	2	2	0	1	2	0	0	0	0	0	1	1	1	4	4	4	3	0	1	0	0	1	0	0
7	0	17	0	0	1	4	4	0	2	2	0	1	1	0	0	1	1	0	4	1	4	1	6	0	0	0	1	0	0
8	1	15	0	1	1	3	2	0	1	2	0	0	1	1	0	1	1	1	4	2	2	1	0	1	0	0	0	1	0
9	1	15	0	0	0	3	4	0	1	2	0	0	1	1	1	1	1	1	5	5	1	5	0	1	0	0	1	0	0
10	0	15	0	0	0	4	4	0	1	2	0	0	1	1	0	1	1	1	3	3	3	2	0	0	0	0	0	0	1
11	0	15	0	0	0	2	1	1	3	3	0	0	1	0	1	1	1	1	5	2	2	4	4	1	0	0	1	0	0
12	1	15	0	1	0	4	4	1	1	1	0	0	1	1	1	1	1	1	4	3	3	5	2	1	0	0	0	1	0
13	1	15	0	0	0	4	3	0	2	2	0	0	1	1	0	1	1	1	5	4	3	3	2	1	0	0	0	0	1
14	1	15	0	0	1	2	2	2	1	3	0	0	1	0	0	1	1	1	4	5	2	3	0	1	0	0	1	0	0
15	0	16	0	0	0	4	4	0	1	1	0	0	1	0	0	1	1	1	4	4	4	2	4	1	0	1	0	0	0
16	0	16	0	0	0	4	4	0	1	3	0	0	1	1	1	1	1	1	3	2	3	2	6	1	0	0	0	1	0
17	0	16	0	0	0	3	3	0	3	2	0	1	1	0	1	1	1	0	5	3	2	4	4	1	0	0	1	0	0
18	1	17	0	0	0	3	2	0	1	1	3	0	1	0	1	1	1	1	5	5	5	5	16	0	0	0	0	1	0
19	1	16	0	1	0	4	3	1	1	1	0	0	0	1	1	1	1	1	3	1	3	5	4	1	0	0	1	0	0
20	1	15	0	0	0	4	3	0	1	2	0	0	0	0	0	1	1	1	4	4	1	1	0	1	0	0	0	0	1
21	1	15	0	0	0	4	4	1	1	1	0	0	1	1	0	1	1	1	5	4	2	5	0	1	0	1	0	0	0
22	1	16	0	1	0	4	2	0	1	2	0	0	0	0	1	1	1	1	4	5	1	5	2	1	0	0	0	0	1
23	1	16	0	1	0	2	2	0	2	2	0	0	1	0	1	1	1	1	5	4	4	5	0	1	0	0	1	0	0
24	0	15	1	0	0	2	4	0	1	3	0	1	1	1	1	1	1	1	4	3	2	5	2	0	0	0	0	1	0
25	0	16	0	0	0	2	2	0	1	1	2	0	1	1	0	0	1	1	1	2	2	5	14	0	0	0	0	1	0
26	1	15	0	0	0	2	2	0	1	1	0	0	1	1	0	1	1	1	4	2	2	5	2	1	0	0	1	0	0
27	1	15	0	0	0	4	2	0	1	1	0	0	0	1	0	1	1	1	2	2	4	1	4	1	0	1	0	0	0
28	1	16	0	1	1	3	4	0	1	2	0	1	1	0	1	1	1	1	5	3	3	5	4	1	0	0	0	1	0
29	1	16	0	0	0	4	4	0	1	2	0	0	1	1	1	1	1	1	4	4	5	5	16	1	0	0	0	0	1
30	1	15	0	0	0	4	4	0	1	2	0	0	1	1	0	0	1	1	5	4	2	5	0	1	0	1	0	0	0
31	1	15	0	0	0	4	4	0	2	2	0	0	1	0	1	1	1	1	4	3	1	5	0	1	0	0	0	1	0
32	1	15	1	0	0	4	3	0	1	2	0	0	1	0	1	1	1	1	4	5	2	5	0	1	0	0	0	0	1
33	1	15	0	1	0	3	3	0	1	2	0	0	0	0	1	0	1	1	5	3	2	2	0	1	0	0	1	0	0
34	1	16	0	0	0	3	2	0	1	1	0	0	1	1	0	0	1	1	5	4	3	5	0	1	0	0	1	0	0
35	0	15	0	0	0	2	3	1	2	1	0	0	1	0	1	1	1	0	3	5	1	5	0	0	0	0	1	0	0
36	1	15	0	1	0	4	3	0	1	3	0	0	1	0	1	1	1	1	5	4	3	4	2	1	0	0	0	0	1
37	1	16	1	0	1	4	4	0	2	3	0	0	1	0	1	1	1	1	2	4	3	5	7	1	0	0	1	0	0
38	0	15	1	0	0	3	4	0	1	3	0	1	1	1	1	1	1	1	4	3	2	5	2	1	0	0	0	1	0
39	0	15	1	0	0	2	2	0	1	1	0	1	1	1	1	1	1	0	4	3	1	2	8	1	1	0	0	0	0
40	0	16	0	1	0	2	2	0	2	2	1	0	1	0	1	0	1	1	3	3	3	3	25	1	0	0	1	0	0
41	1	15	0	1	0	4	4	2	1	1	0	0	1	0	0	0	1	1	5	4	3	5	8	1	0	0	1	0	0
42	1	15	0	0	0	4	4	1	1	2	0	0	1	0	1	1	1	1	4	3	3	5	2	1	0	0	0	0	1
43	1	15	0	0	0	2	2	1	1	1	0	1	1	0	0	1	1	1	5	4	1	1	0	1	0	0	0	1	0
44	0	16	0	1	0	2	2	1	2	2	1	1	0	0	1	1	1	1	4	3	3	5	14	0	1	0	0	0	0
45	0	15	0	1	1	4	3	0	1	2	0	1	1	1	1	1	1	1	5	2	2	5	8	0	0	0	1	0	0
46	0	16	0	1	1	3	3	0	1	2	0	0	1	0	0	1	1	1	2	3	5	3	12	1	0	0	1	0	0
47	1	16	0	0	0	4	3	0	1	4	0	0	0	0	1	1	1	1	4	2	2	2	4	1	0	1	0	0	0
48	1	15	0	0	0	4	2	0	1	2	0	0	1	1	0	1	1	0	4	3	3	5	2	1	0	0	0	0	1
49	0	15	0	0	0	4	4	1	1	2	1	1	1	0	1	0	1	1	4	4	4	3	2	0	0	0	0	0	1
50	0	16	0	1	0	2	2	0	3	2	0	0	1	1	0	1	1	1	4	3	3	4	2	1	0	0	0	1	0
51	0	15	0	1	0	4	2	0	1	2	0	0	1	1	0	1	1	1	4	3	3	5	2	1	0	1	0	0	0
52	1	15	0	1	1	4	2	1	2	1	1	0	0	0	0	1	1	0	5	5	5	5	6	1	0	1	0	0	0
53	0	15	0	0	0	4	4	0	1	1	0	1	1	1	0	1	1	1	3	3	4	5	0	1	0	0	0	1	0
54	0	15	0	1	1	3	3	0	1	1	0	0	0	1	0	1	1	1	5	3	4	1	6	1	0	0	1	0	0
55	0	16	0	0	1	2	1	0	1	2	0	0	0	1	1	1	1	1	5	3	4	2	8	1	0	0	1	0	0
56	0	15	0	0	1	4	3	0	1	2	0	0	1	1	1	1	1	1	4	3	2	1	0	1	0	0	0	1	0
57	1	15	0	0	0	4	4	0	1	2	0	0	1	0	1	1	1	0	3	2	2	5	4	1	0	0	0	0	1
58	1	15	0	1	0	1	2	1	1	2	0	1	1	0	1	1	1	1	4	3	2	5	2	0	1	0	0	0	0
59	0	16	0	0	0	4	2	0	1	2	0	0	1	0	0	1	1	1	4	2	3	5	2	1	0	0	0	1	0
60	0	16	1	0	0	4	4	0	1	2	0	0	1	0	1	1	1	0	2	4	4	4	6	1	0	1	0	0	0
61	0	16	0	0	0	1	1	1	4	1	0	1	1	0	1	0	1	1	5	5	5	5	6	1	0	0	0	1	0
62	0	16	0	1	0	1	2	1	1	2	0	1	0	0	1	1	1	1	4	4	3	1	4	0	0	0	0	1	0
63	0	16	0	0	0	4	3	0	1	3	0	1	1	1	1	1	1	1	3	4	4	4	2	0	0	0	0	0	1
64	0	15	0	1	0	4	3	1	1	2	0	1	0	0	1	1	1	1	4	4	4	2	0	1	0	0	0	1	0
65	0	16	0	1	0	4	3	0	3	2	0	0	1	0	1	1	1	1	5	4	3	1	2	1	0	0	0	0	1
66	1	15	0	0	1	4	4	0	1	4	0	0	1	0	1	0	1	1	1	3	3	3	4	1	0	0	1	0	0
67	0	16	0	0	0	3	1	0	1	4	0	1	1	1	0	1	1	1	4	3	3	5	4	0	0	0	0	1	0
68	0	15	1	1	0	2	2	0	2	2	0	1	1	1	0	1	1	1	4	1	3	4	2	0	0	1	0	0	0
69	0	15	1	1	0	3	1	1	2	4	0	0	1	0	0	0	1	1	4	4	2	3	12	1	0	0	1	0	0
70	1	16	0	0	0	3	1	1	2	4	0	0	1	1	0	1	1	1	4	3	2	5	0	1	0	0	1	0	0
71	1	15	0	0	0	4	2	0	1	4	0	0	0	0	0	1	1	1	3	3	3	3	0	1	0	0	1	0	0
